,month,airport,mean_precip_monthly,mean_snow_monthly,mean_wind_monthly,mean_cloud_monthly
366,2,GRB,1.0,1,2.0,1
367,2,GRR,0.0,0,2.0,3
368,2,HOU,0.0,0,0.0,3
369,2,HPN,0.0,0,3.0,1
370,2,HYS,0.0,0,3.0,0
371,2,IAD,1.0,1,0.0,3
372,2,IAH,1.0,0,2.0,3
373,2,IND,0.0,0,2.0,3
374,2,JAX,0.0,0,0.0,2
375,2,JFK,1.0,1,3.0,2
376,2,LAS,1.0,0,3.0,2
377,2,LAX,0.0,0,2.0,1
378,2,LEX,1.0,0,2.0,3
379,2,LGA,0.0,1,3.0,3
380,2,LGB,1.0,0,0.0,2
381,2,LIT,1.0,0,3.0,3
382,2,MCO,0.0,0,1.0,2
383,2,MDW,1.0,1,3.0,3
384,2,MEM,0.0,0,1.0,3
385,2,MFR,0.0,0,0.0,1
386,2,MIA,0.0,0,0.0,1
387,2,MKE,1.0,1,3.0,3
388,2,MRY,0.0,0,0.0,0
389,2,MSP,1.0,2,1.0,2
390,2,MSY,1.0,0,2.0,3
391,2,MTJ,0.0,0,3.0,1
392,2,MYR,0.0,0,2.0,3
393,2,OAK,1.0,0,3.0,3
394,2,ORD,0.0,1,2.0,3
395,2,ORF,0.0,0,1.0,2
396,2,PBI,0.0,0,0.0,0
397,2,PDX,0.0,0,3.0,3
398,2,PGD,0.0,0,0.0,2
399,2,PHL,0.0,0,1.0,3
400,2,PHX,0.0,0,2.0,1
401,2,PIT,0.0,1,2.0,3
402,2,PVD,1.0,2,2.0,1
403,2,RDM,0.0,1,1.0,0
404,2,RDU,0.0,0,1.0,3
405,2,RIC,0.0,0,1.0,1
406,2,RNO,0.0,0,1.0,2
407,2,RSW,0.0,0,0.0,0
408,2,SAN,1.0,0,3.0,2
409,2,SAT,1.0,0,1.0,3
410,2,SAV,0.0,0,0.0,2
411,2,SEA,1.0,1,2.0,3
412,2,SFB,1.0,0,3.0,1
413,2,SFO,0.0,0,1.0,0
414,2,SHV,0.0,0,0.0,3
415,2,SJC,0.0,0,2.0,2
416,2,SLC,0.0,2,3.0,2
417,2,SMF,0.0,0,1.0,0
418,2,SNA,0.0,0,0.0,0
419,2,STL,0.0,0,3.0,1
420,2,SYR,0.0,0,1.0,3
421,2,TPA,0.0,0,0.0,1
422,2,TUL,1.0,0,1.0,2
423,2,TUS,0.0,0,1.0,0
424,2,TYS,1.0,0,0.0,3
425,2,VPS,0.0,0,0.0,3
426,3,ALB,0.0,0,0.0,0
427,3,ASE,0.0,1,2.0,3
428,3,ATL,0.0,0,2.0,2
429,3,AUS,0.0,0,1.0,3
430,3,BNA,1.0,0,2.0,3
431,3,BOI,0.0,0,0.0,3
432,3,BOS,0.0,0,2.0,1
433,3,BTV,0.0,0,2.0,0
434,3,BUF,0.0,0,2.0,3
435,3,BUR,0.0,0,0.0,2
436,3,BWI,0.0,1,2.0,2
437,3,CHA,1.0,0,2.0,3
438,3,CHS,0.0,0,0.0,3
439,3,CID,0.0,0,0.0,0
440,3,CLE,0.0,0,3.0,3
441,3,CLT,0.0,0,1.0,2
442,3,CMH,0.0,0,3.0,2
443,3,CMI,0.0,0,3.0,0
444,3,CPR,0.0,0,3.0,0
445,3,CWA,1.0,0,1.0,0
446,3,DAL,0.0,0,3.0,2
447,3,DAY,0.0,0,0.0,3
448,3,DCA,0.0,0,2.0,3
449,3,DEN,0.0,1,2.0,1
450,3,DFW,0.0,0,2.0,2
451,3,DSM,1.0,0,2.0,3
452,3,DTW,0.0,0,0.0,2
453,3,EAU,0.0,0,2.0,0
454,3,EUG,1.0,0,0.0,3
455,3,EWR,1.0,0,3.0,1
456,3,FLL,0.0,0,2.0,2
457,3,GSO,1.0,0,3.0,2
458,3,HGR,0.0,0,2.0,0
459,3,HOU,0.0,0,0.0,3
460,3,HPN,0.0,0,2.0,0
461,3,HSV,0.0,0,0.0,2
462,3,IAD,1.0,1,1.0,2
463,3,IAH,0.0,0,1.0,3
464,3,IND,0.0,0,1.0,0
465,3,JAX,0.0,0,0.0,1
466,3,JFK,1.0,1,3.0,2
467,3,LAS,0.0,0,3.0,2
468,3,LAX,0.0,0,0.0,2
469,3,LBF,0.0,0,2.0,3
470,3,LGA,0.0,2,3.0,3
471,3,LIH,0.0,0,2.0,3
472,3,MCI,0.0,1,0.0,2
473,3,MCO,0.0,0,1.0,0
474,3,MDW,0.0,0,0.0,3
475,3,MKE,0.0,0,3.0,0
476,3,MOB,0.0,0,0.0,0
477,3,MSO,0.0,0,3.0,3
478,3,MSP,0.0,2,3.0,2
479,3,MSY,0.0,0,2.0,2
480,3,MTJ,1.0,0,3.0,3
481,3,OAJ,0.0,0,3.0,0
482,3,OAK,0.0,0,0.0,1
483,3,OGG,1.0,0,3.0,1
484,3,OMA,0.0,0,3.0,1
485,3,ONT,0.0,0,2.0,2
486,3,ORD,0.0,1,2.0,2
487,3,ORF,0.0,0,0.0,0
488,3,PBI,0.0,0,2.0,1
489,3,PDX,0.0,0,3.0,3
490,3,PHL,0.0,1,2.0,2
491,3,PHX,0.0,0,0.0,2
492,3,PIT,0.0,0,3.0,3
493,3,PNS,0.0,0,2.0,0
494,3,PVD,0.0,0,1.0,1
495,3,RDM,0.0,2,0.0,3
496,3,RDU,1.0,1,1.0,2
497,3,RIC,0.0,0,3.0,1
498,3,RSW,1.0,0,0.0,1
499,3,SAN,0.0,0,0.0,2
500,3,SAT,0.0,0,0.0,3
501,3,SBP,0.0,0,0.0,0
502,3,SEA,0.0,0,1.0,2
503,3,SFB,0.0,0,0.0,0
504,3,SFO,1.0,0,3.0,3
505,3,SGU,0.0,0,3.0,3
506,3,SJC,0.0,0,2.0,2
507,3,SMF,1.0,0,1.0,2
508,3,SNA,0.0,0,1.0,1
509,3,SPI,0.0,0,1.0,0
510,3,SRQ,0.0,0,3.0,0
511,3,STL,0.0,0,2.0,2
512,3,SWO,0.0,0,3.0,0
513,3,TPA,0.0,0,1.0,0
514,3,TUL,0.0,0,3.0,0
515,3,XNA,0.0,0,0.0,0
516,4,ANC,0.0,0,2.0,0
517,4,ASE,1.0,2,2.0,3
518,4,ATL,1.0,0,1.0,2
519,4,AVL,0.0,0,1.0,0
520,4,AZA,0.0,0,0.0,0
521,4,BNA,0.0,0,0.0,0
522,4,BOI,1.0,0,3.0,3
523,4,BOS,1.0,0,1.0,3
524,4,BQK,0.0,0,1.0,0
525,4,BTR,0.0,0,0.0,0
526,4,BUR,0.0,0,0.0,2
527,4,BWI,0.0,0,1.0,3
528,4,BZN,0.0,0,3.0,3
529,4,CHA,1.0,0,0.0,3
530,4,CHO,0.0,0,0.0,0
531,4,CHS,1.0,0,0.0,2
532,4,CID,0.0,0,2.0,1
533,4,CLE,0.0,0,3.0,3
534,4,CLT,1.0,0,1.0,2
535,4,CMH,1.0,0,1.0,3
536,4,CRW,0.0,0,0.0,3
537,4,CVG,0.0,0,3.0,3
538,4,DAL,0.0,0,1.0,1
539,4,DAY,0.0,0,2.0,3
540,4,DCA,0.0,0,3.0,2
541,4,DEN,0.0,0,3.0,2
542,4,DFW,0.0,0,2.0,2
543,4,DTW,0.0,0,1.0,3
544,4,DUT,0.0,0,1.0,3
545,4,EWR,1.0,1,3.0,2
