fl_date,origin,precip,snow,windgust,cloudcover
2020-01-04,AMA,0.0,0.0,47.9,0.0
2020-01-05,AMA,0.0,0.0,46.4,0.0
2020-01-06,AMA,0.0,0.0,52.2,0.0
2018-05-22,ANC,0.34,0.0,50.0,62.9
2018-06-24,ANC,0.41,0.0,,91.4
2018-12-04,ANC,0.0,0.0,,62.5
2019-04-03,ANC,0.0,0.0,47.9,11.6
2019-07-17,ANC,0.0,0.0,31.7,26.4
2019-08-10,ANC,0.0,0.0,,19.0
2019-09-07,ANC,12.15,0.0,,56.3
2019-12-20,ANC,0.0,0.0,,16.6
2020-01-01,ANC,6.89,5.49,40.7,72.5
2020-01-02,ANC,0.18,0.0,,69.5
2020-01-03,ANC,0.0,0.0,,23.5
2020-01-04,ANC,0.0,0.0,,36.5
2020-01-05,ANC,0.0,0.0,,55.1
2020-01-06,ANC,0.0,0.0,,45.2
2020-01-01,APN,0.3,0.02,37.0,46.3
2020-01-02,APN,0.0,0.0,36.9,82.0
2020-01-03,APN,0.0,0.01,27.7,98.9
2020-01-04,APN,0.5,0.02,31.7,94.5
2020-01-05,APN,5.9,3.11,31.7,85.7
2020-01-06,APN,0.5,1.72,64.7,66.7
2020-01-01,ART,0.3,5.32,60.9,92.5
2020-01-02,ART,0.0,0.36,42.5,50.1
2020-01-03,ART,0.0,9.85,33.5,99.9
2020-01-04,ART,1.6,8.94,,93.6
2020-01-05,ART,0.0,1.11,40.7,76.5
2020-01-06,ART,0.3,0.84,61.7,92.8
2019-01-13,ASE,0.0,0.15,,0.0
2019-02-12,ASE,0.0,0.24,38.9,12.0
2019-03-23,ASE,0.0,1.58,46.2,77.9
2019-04-29,ASE,15.89,2.19,50.0,68.2
2020-01-01,ASE,3.17,7.19,51.8,81.9
2020-01-02,ASE,3.76,4.0,,62.8
2020-01-03,ASE,0.0,0.0,46.4,64.8
2020-01-04,ASE,0.0,0.0,51.8,0.0
2020-01-05,ASE,0.0,0.0,63.9,21.6
2020-01-06,ASE,0.0,0.0,55.4,24.4
2018-01-01,ATL,0.0,0.0,40.7,74.3
2018-01-02,ATL,0.0,0.0,,29.6
2018-01-03,ATL,0.0,0.0,29.5,67.1
2018-01-04,ATL,0.0,0.0,51.8,6.9
2018-01-05,ATL,0.0,0.0,37.1,28.0
2018-01-06,ATL,0.0,0.0,33.5,31.6
2018-01-07,ATL,0.0,0.0,27.7,63.8
2018-01-08,ATL,6.7,0.0,,97.1
2018-01-09,ATL,0.0,0.0,,69.2
2018-01-10,ATL,0.0,0.0,35.3,94.1
2018-01-11,ATL,1.66,0.0,,93.0
2018-01-12,ATL,11.84,0.0,55.6,89.3
2018-01-13,ATL,0.0,0.0,62.3,59.6
2018-01-14,ATL,0.0,0.0,46.4,32.3
2018-01-15,ATL,0.0,0.0,,31.8
2018-01-16,ATL,0.3,3.13,35.3,69.4
2018-01-17,ATL,3.67,1.74,55.6,40.0
2018-01-18,ATL,0.0,0.0,27.7,0.0
2018-01-19,ATL,0.0,0.0,,16.1
2018-01-20,ATL,0.0,0.0,31.7,33.3
2018-01-21,ATL,0.0,0.0,,30.0
2018-01-22,ATL,20.73,0.0,51.8,99.6
2018-01-23,ATL,0.0,0.0,49.6,65.7
2018-01-24,ATL,0.0,0.0,46.4,39.9
2018-01-25,ATL,0.0,0.0,,28.4
2018-01-26,ATL,0.0,0.0,31.7,84.4
2018-01-27,ATL,1.53,0.0,,98.8
2018-01-28,ATL,31.95,0.0,,95.3
2018-01-29,ATL,0.6,0.0,55.2,53.1
2018-01-30,ATL,0.0,0.0,51.7,41.5
2018-01-31,ATL,0.0,0.0,31.7,42.3
2018-02-01,ATL,0.0,0.0,44.5,82.6
2018-02-02,ATL,2.3,0.0,54.6,69.6
2018-02-03,ATL,0.0,0.0,27.7,92.3
2018-02-04,ATL,36.19,0.0,31.7,99.5
2018-02-05,ATL,0.0,0.0,35.3,20.3
2018-02-06,ATL,0.0,0.0,,75.9
2018-02-07,ATL,41.19,0.0,50.0,97.7
2018-02-08,ATL,0.0,0.0,31.7,52.4
2018-02-09,ATL,4.03,0.0,33.5,74.7
2018-02-10,ATL,15.83,0.0,35.3,79.1
2018-02-11,ATL,19.23,0.0,38.9,100.0
2018-02-12,ATL,1.39,0.0,,99.8
